opportunity_id,title,category,source,url,reward_amount,reward_currency,deadline,requirements,capital_required,difficulty,estimated_hours,risk_level,success_probability,verification_score,recommended_action,recommendation_reason,verification_status,human_approval_required,country_restrictions,kyc_required,payment_method,link_active,explicit_reward,verified_at
69,Support actual payment amount confirmation and rate-shift tracking for foreign scheduled expenses,paid_development,GitHub Paid Issues,https://github.com/pedrazamiguez/split-trip/issues/1400,130.74,EUR,,properly formatted using existing locale-aware formatting utilities (e,0,baixa,8.0,baixo,0.827,75.17,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",actionable,0,,0,GitHub Sponsors,1,1,2026-07-15T14:35:24.022895+00:00
784,"monte_carlo_layer_means default seed makes a small-n draw an exact prefix of a large-n draw, and the compare_against_monte_carlo MSE column is easy to misread",competition,GitHub Prize Issues,https://github.com/AIcrowd/whest-starterkit/issues/39,500.0,USD,,signed in to change notification settings Fork 14 Star 9 Code Issues 4 Pull requests 0 Actions Projects Security and quality 0 Insights Additional navigation options Code Issues Pull requests Actions Projects Security and quality Insights monte_carlo_layer_means default seed makes a small-n draw an,0,baixa,8.0,baixo,0.822,74.69,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",actionable,0,,0,GitHub Sponsors,1,1,2026-08-26T17:32:33.495462+00:00
350,[BOUNTY $200] 🐜 The Great Memory Migration: Own Your Agentic Memory with Memanto + OKF,competition,GitHub Prize Issues,https://github.com/moorcheh-ai/memanto/issues/1609,200.0,USD,,signed in to change notification settings Fork 631 Star 1,0,baixa,8.0,baixo,0.818,74.35,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",actionable,0,,0,GitHub Sponsors,1,1,2026-08-26T14:02:34.855901+00:00
204,🎯 Bounty Alert: 30 New Opportunities — 2026-07-14 10:46 UTC,ai_bounty,AI Agent Bounties,https://github.com/greyw0rks/bountyscout/issues/256,28.4,USD,,signed in to change notification settings Fork 8 Star 7 Code Issues 264 Pull requests 4 Actions Projects Security and quality 0 Insights Additional navigation options Code Issues Pull requests Actions Projects Security and quality Insights 🎯 Bounty Alert: 30 New Opportunities — 2026-07-14 10:46 UTC,0,baixa,8.0,baixo,0.786,71.45,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",actionable,0,,0,GitHub Sponsors,1,1,2026-07-15T14:35:08.542812+00:00
285,[AGENT-TASK] Content-generation agent — auto-posts from bounty outcomes,ai_bounty,AI Agent Bounties,https://github.com/Nexussyn/ai-growth-engine/issues/5,5.0,USD,,signed in to change notification settings Fork 35 Star 6 Code Issues 5 Pull requests 71 Actions Projects Security and quality 0 Insights Additional navigation options Code Issues Pull requests Actions Projects Security and quality Insights [AGENT-TASK] Content-generation agent — auto-posts from boun,0,baixa,8.0,baixo,0.786,71.45,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",actionable,0,,0,"USDC, GitHub Sponsors",1,1,2026-08-26T14:01:50.015441+00:00
669,bounty: $15 USDC — add-only docs/BAZAAR_AUDIT.md,ai_integration,MCP Paid Opportunities,https://github.com/kwizzlesurp10-ctrl/x402-mcp/issues/495,15.0,USD,,signed in to change notification settings Fork 0 Star 1 Code Issues 33 Pull requests 0 Actions Projects Security and quality 0 Insights Additional navigation options Code Issues Pull requests Actions Projects Security and quality Insights bounty: $15 USDC — add-only docs/BAZAAR_AUDIT,0,baixa,8.0,baixo,0.786,71.45,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",actionable,0,,0,"USDC, GitHub Sponsors",1,1,2026-08-26T16:35:48.376536+00:00
670,bounty: $5 USDC — add-only docs/TOOL_LEGIBILITY.md,ai_integration,MCP Paid Opportunities,https://github.com/kwizzlesurp10-ctrl/x402-mcp/issues/494,5.0,USD,,signed in to change notification settings Fork 0 Star 1 Code Issues 33 Pull requests 0 Actions Projects Security and quality 0 Insights Additional navigation options Code Issues Pull requests Actions Projects Security and quality Insights bounty: $5 USDC — add-only docs/TOOL_LEGIBILITY,0,baixa,8.0,baixo,0.786,71.45,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",actionable,0,,0,"USDC, GitHub Sponsors",1,1,2026-08-26T16:35:49.248775+00:00
548,[Bug] fix.py is a stale hardcoded stub,open_source_bounty,GitHub Bounty Issues,https://github.com/Hazyshades/Sendly-Test-Repo/issues/82,10.0,USD,,signed in to change notification settings Fork 41 Star 1 Code Issues 13 Pull requests 67 Actions Projects Security and quality 0 Insights Additional navigation options Code Issues Pull requests Actions Projects Security and quality Insights [Bug] fix,0,baixa,8.0,baixo,0.777,70.64,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",actionable,0,,0,"USDC, GitHub Sponsors",1,1,2026-08-26T14:12:18.726042+00:00
229,Ops dashboard,ai_integration,MCP Paid Opportunities,https://github.com/ModelMirrorAI/fedcourtsai/issues/630,55.0,USD,,signed in to change notification settings Fork 0 Star 1 Code Issues 14 Pull requests 1 Actions Security and quality 0 Insights Additional navigation options Code Issues Pull requests Actions Security and quality Insights Ops dashboard #630 New issue Copy link New issue Copy link Open Open Ops dashbo,0,baixa,8.0,baixo,0.771,70.1,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",actionable,0,,0,GitHub Sponsors,1,1,2026-07-15T14:35:27.350906+00:00
280,[BOUNTY $80] Notifications — 统一通知中心 (Gotify + Apprise),open_source_bounty,GitHub Bounty Issues,https://github.com/illbnm/homelab-stack/issues/13,80.0,USD,,signed in to change notification settings Fork 112 Star 9 Code Issues 18 Pull requests 480 Actions Projects Security and quality 0 Insights Additional navigation options Code Issues Pull requests Actions Projects Security and quality Insights [BOUNTY $80] Notifications — 统一通知中心 (Gotify + Apprise) #1,0,baixa,8.0,baixo,0.771,70.06,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",actionable,0,,0,"USDT, GitHub Sponsors",1,1,2026-08-26T14:02:16.715513+00:00
86,Automatic authoritative external-billing Subscription adoption (CODEX...,paid_development,GitHub Paid Issues,https://github.com/jaywedgeworth22/api-usage-monitor/issues/285,6.0,USD,,signed in to change notification settings Fork 0 Star 1 Code Issues 123 Pull requests 0 Actions Projects Security and quality 0 Insights Additional navigation options Code Issues Pull requests Actions Projects Security and quality Insights Automatic authoritative external-billing Subscription adopti,0,baixa,8.0,baixo,0.768,69.83,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",actionable,0,,0,GitHub Sponsors,1,1,2026-07-15T14:35:30.803994+00:00
572,[Bounty: 3 ETH] implement Goose class in SuperCollider,open_source_bounty,GitHub Bounty Issues,https://github.com/dwebagents/AgentPipe/issues/131,3.0,ETH,,implemented in the SuperCollider language: - the **honk** method should synthesize the sound of 74 geese honking,0,baixa,8.0,baixo,0.752,68.38,"Preparar candidatura, proposta ou prova de conceito.","Link ativo, recompensa explícita e baixo risco identificado.",actionable,0,,0,GitHub Sponsors,1,1,2026-08-26T17:32:45.129568+00:00
123,Grant Application - Educating Communities by Educating Their Leaders,grant,GitHub Grant Issues,https://github.com/ZcashCommunityGrants/zcashcommunitygrants/issues/356,50000.0,USD,,signed in to change notification settings Fork 9 Star 14 Code Issues 42 Pull requests 0 Actions Projects Security and quality 0 Insights Additional navigation options Code Issues Pull requests Actions Projects Security and quality Insights Grant Application - Educating Communities by Educating Their,0,alta,80.0,baixo,0.686,85.7,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",approval_required,1,,1,GitHub Sponsors,1,1,2026-07-15T14:35:04.766319+00:00
401,Data Analytics Bounty,crypto_bounty,Crypto Bounties,https://github.com/Honest-Protocol/Gitcoin_Metamorphosis/issues/3,2250.0,USD,,Data analytics can be based on any tool the participant sees fit to utilize,0,baixa,8.0,baixo,0.899,81.7,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",approval_required,1,,0,"USDC, GitHub Sponsors",1,1,2026-08-26T14:01:44.206943+00:00
87,Tool discovery 2026-07-15: 6 candidates,paid_development,GitHub Paid Issues,https://github.com/TarronKayAUA/aua-ai-hub/issues/21,4167.0,USD,,signed in to change notification settings Fork 0 Star 0 Code Issues 1 Pull requests 0 Discussions Actions Projects Security and quality 0 Insights Additional navigation options Code Issues Pull requests Discussions Actions Projects Security and quality Insights Tool discovery 2026-07-15: 6 candidate,0,média,30.0,baixo,0.801,80.14,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",approval_required,1,"Open Tool discovery 2026-07-15: 6 candidates #21 Copy link Description TarronKayAUA opened on Jul 15, 2026 Issue body actions This is the monthly propose-only tool dis",0,GitHub Sponsors,1,1,2026-07-15T14:35:25.663885+00:00
279,[BOUNTY $200] Testing — 自动化测试套件,open_source_bounty,GitHub Bounty Issues,https://github.com/illbnm/homelab-stack/issues/14,280.0,USD,,signed in to change notification settings Fork 112 Star 9 Code Issues 18 Pull requests 480 Actions Projects Security and quality 0 Insights Additional navigation options Code Issues Pull requests Actions Projects Security and quality Insights [BOUNTY $200] Testing — 自动化测试套件 #14 New issue Copy link N,0,baixa,8.0,baixo,0.837,76.05,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",approval_required,1,,0,"USDT, GitHub Sponsors",1,1,2026-08-26T14:01:56.344996+00:00
1,[0.10 USDC autonomous bounty] Complete an agent-skill claim-to-payout canary,ai_integration,MCP Paid Opportunities,https://github.com/NSPG13/agent-bounties/issues/277,0.11,USD,,A wallet different from the creator owns the active canonical claim round,0,baixa,8.0,baixo,0.79,71.85,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",approval_required,1,eligibility 1,0,"USDC, GitHub Sponsors",1,1,2026-07-15T14:34:40.414258+00:00
8,[0.10 USDC autonomous bounty] Complete an MCP-discovered claim-to-payout canary,ai_integration,MCP Paid Opportunities,https://github.com/NSPG13/agent-bounties/issues/276,0.11,USD,,A wallet different from the creator owns the active canonical claim round,0,baixa,8.0,baixo,0.79,71.85,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",approval_required,1,eligibility 1,0,"USDC, GitHub Sponsors",1,1,2026-07-15T14:34:42.648196+00:00
9,[0.10 USDC autonomous bounty] Complete a wallet claim-to-payout canary,ai_integration,MCP Paid Opportunities,https://github.com/NSPG13/agent-bounties/issues/275,0.11,USD,,A wallet different from the creator owns the active canonical claim round,0,baixa,8.0,baixo,0.79,71.85,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",approval_required,1,eligibility 1,0,"USDC, GitHub Sponsors",1,1,2026-07-15T14:34:44.757351+00:00
10,[0.10 USDC autonomous meta-bounty] Create a paid coding-bounty loop,open_source_bounty,GitHub Bounty Issues,https://github.com/NSPG13/agent-bounties/issues/274,0.11,USD,,so the canonical parent verifier passes and emits BountySettled; the child solver must be a different wallet from the parent solver,0,baixa,8.0,baixo,0.79,71.85,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",approval_required,1,eligibility 1,0,"USDC, GitHub Sponsors",1,1,2026-07-15T14:34:46.711221+00:00
11,[0.10 USDC autonomous meta-bounty] Post a funded agent-tooling bounty completed by another wallet,open_source_bounty,GitHub Bounty Issues,https://github.com/NSPG13/agent-bounties/issues/273,0.11,USD,,so the canonical parent verifier passes and emits BountySettled; the child solver must be a different wallet from the parent solver,0,baixa,8.0,baixo,0.79,71.85,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",approval_required,1,eligibility 1,0,"USDC, GitHub Sponsors",1,1,2026-07-15T14:34:48.757641+00:00
5,[UNFUNDED: 0/2.01 USDC] Complete a machine-API paid loop,ai_integration,MCP Paid Opportunities,https://github.com/NSPG13/agent-bounties/issues/249,2.01,USD,,and payment,0,baixa,8.0,baixo,0.789,71.7,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",approval_required,1,eligibility and payment,0,"USDC, GitHub Sponsors",1,1,2026-07-15T14:34:53.038722+00:00
6,[2 USDC autonomous bounty] Complete an independent-relayer paid loop,ai_integration,MCP Paid Opportunities,https://github.com/NSPG13/agent-bounties/issues/250,2.01,USD,,and payment,0,baixa,8.0,baixo,0.789,71.7,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",approval_required,1,eligibility and payment,0,"USDC, GitHub Sponsors",1,1,2026-07-15T14:34:54.961113+00:00
7,[2 USDC autonomous bounty] Complete a browser-wallet paid loop,ai_integration,MCP Paid Opportunities,https://github.com/NSPG13/agent-bounties/issues/248,2.0,USD,,and payment,0,baixa,8.0,baixo,0.789,71.7,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",approval_required,1,eligibility and payment,0,"USDC, GitHub Sponsors",1,1,2026-07-15T14:34:57.117099+00:00
425,P1 — First verified revenue: USD 10+,ai_bounty,AI Agent Bounties,https://github.com/jadeldiaz01-png/AUREUS-2026-Autonomous-Universal-Revenue-Efficient-Utility-Scheduler/issues/2,10.0,USD,,signed in to change notification settings Fork 0 Star 0 Code Issues 1 Pull requests 0 Actions Projects Security and quality 0 Insights Additional navigation options Code Issues Pull requests Actions Projects Security and quality Insights P1 — First verified revenue: USD 10+ #2 New issue Copy link Ne,0,baixa,8.0,baixo,0.789,71.7,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",approval_required,1,eligibility/onboarding is complete,1,GitHub Sponsors,1,1,2026-08-26T14:01:46.105647+00:00
441,[Bounty] [3 USDC][Open Competition V2] Map the shortest discovery path for eight AI-agent,ai_bounty,AI Agent Bounties,https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/834,3.0,USD,,signed in to change notification settings Fork 44 Star 7 Code Issues 405 Pull requests 218 Actions Security and quality 0 Insights Additional navigation options Code Issues Pull requests Actions Security and quality Insights [Bounty] [3 USDC][Open Competition V2] Map the shortest discovery path for,0,baixa,8.0,baixo,0.788,71.6,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",approval_required,1,,0,"USDC, GitHub Sponsors",1,1,2026-08-26T14:01:47.493769+00:00
668,bounty: $25 USDC — add-only docs/LIVE_LEDGER.md,ai_integration,MCP Paid Opportunities,https://github.com/kwizzlesurp10-ctrl/x402-mcp/issues/496,25.0,USD,,signed in to change notification settings Fork 0 Star 1 Code Issues 33 Pull requests 0 Actions Projects Security and quality 0 Insights Additional navigation options Code Issues Pull requests Actions Projects Security and quality Insights bounty: $25 USDC — add-only docs/LIVE_LEDGER,0,baixa,8.0,baixo,0.786,71.45,Revisar requisitos e autorizar a preparação.,"A oportunidade é promissora, mas exige ação humana sensível.",approval_required,1,,0,"USDC, GitHub Sponsors",1,1,2026-08-26T16:35:47.581817+00:00
437,[gig] DeskCrew Bounty Board,ai_bounty,AI Agent Bounties,https://github.com/gigs-sh/gigs-sh/issues/5,,,,signed in to change notification settings Fork 1 Star 1 Code Issues 5 Pull requests 0 Actions Projects Security and quality 0 Insights Additional navigation options Code Issues Pull requests Actions Projects Security and quality Insights [gig] DeskCrew Bounty Board #5 New issue Copy link New issue C,1,baixa,8.0,alto,0.02,0.0,Solicitar aprovação humana antes de qualquer gasto.,"A oportunidade aparenta exigir capital, taxa, depósito ou compra.",approval_required,1,open to anonymous AI agents,1,"USDC, GitHub Sponsors",1,0,2026-08-26T14:08:07.185620+00:00
707,Schedule a call,coding_bounty,Algora Open Bounties,https://cal.com/ioannisflo,,,,,0,média,30.0,médio,0.278,27.82,Realizar revisão humana curta antes da preparação.,"A oportunidade parece executável, mas ainda possui informação incompleta.",verified,0,,0,,1,0,2026-08-26T16:36:04.423274+00:00
743,Map: In-season weekly drafts,competition,GitHub Prize Issues,https://github.com/wulke/best-ball-pl/issues/37,,,2026-08-22,deployed before then,0,baixa,8.0,médio,0.046,4.2,Descartar como expirada.,O prazo identificado já terminou.,expired,0,,0,GitHub Sponsors,1,0,2026-08-26T17:07:02.721327+00:00
72,chore(ci): retire qodana now that jscpd and cargo-machete cover its findings,ai_integration,MCP Paid Opportunities,https://github.com/iamacoffeepot/aether/issues/3439,2000.0,USD,,signed in to change notification settings Fork 0 Star 1 Code Issues 3 Pull requests 0 Actions Projects Security and quality 0 Insights Additional navigation options Code Issues Pull requests Actions Projects Security and quality Insights chore(ci): retire qodana now that jscpd and cargo-machete cove,0,baixa,8.0,médio,0.437,39.74,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,rejected,0,,0,GitHub Sponsors,1,1,2026-07-15T14:35:32.633091+00:00
212,Wayfinder map: alpha → beta launch,ai_integration,MCP Paid Opportunities,https://github.com/cameronapak/dotflowy/issues/151,99.0,USD,,signed in to change notification settings Fork 4 Star 24 Code Issues 41 Pull requests 7 Discussions Actions Projects Security and quality 0 Insights Additional navigation options Code Issues Pull requests Discussions Actions Projects Security and quality Insights Wayfinder map: alpha → beta launch #,0,baixa,8.0,médio,0.329,29.92,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,rejected,0,,0,"Stripe, GitHub Sponsors",1,1,2026-07-15T14:35:29.101579+00:00
367,"Opportunity acquisition v0: grants, credits, bounties, and open-infrastructure funding",ai_bounty,AI Agent Bounties,https://github.com/gleephoenixcrew/glee-operator-tools/issues/12,,,2026-11-03,** libre/open licensing and open standards where possible,0,baixa,8.0,médio,0.075,6.85,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,rejected,0,"open toolkit that lets agentic systems prove what action occurred, which evidence supports it, whether a human escalation actually arrived, and whether provenance clai",0,GitHub Sponsors,1,0,2026-08-26T14:01:43.054467+00:00
889,MVA Hackathon 2026 entry: variant-triage lens federation + drug-repurposing report (epic),competition,GitHub Prize Issues,https://github.com/Replikanti/agentis-colonies/issues/2031,,,2026-10-24,public and CC-BY compatible (CC BY 4,0,baixa,8.0,médio,0.04,3.64,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,rejected,0,,0,GitHub Sponsors,1,0,2026-08-26T18:56:20.320391+00:00
413,"Grant Application - Zcash Hack-to-Dark At Devcon 8, Mumbai",crypto_bounty,Crypto Bounties,https://github.com/ZcashCommunityGrants/zcashcommunitygrants/issues/398,,,,"signed in to change notification settings Fork 9 Star 15 Code Issues 39 Pull requests 0 Actions Projects Security and quality 0 Insights Additional navigation options Code Issues Pull requests Actions Projects Security and quality Insights Grant Application - Zcash Hack-to-Dark At Devcon 8, Mumbai #",0,média,30.0,médio,0.02,1.7,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,rejected,1,"open to a much wider guest list, ongoing collaboration with local blockchain clubs",1,"Criptomoeda, GitHub Sponsors",1,0,2026-08-26T14:01:45.440211+00:00
778,[Advanced] Minimal PHP client for the x402 pay flow (Stellar),paid_development,GitHub Paid Issues,https://github.com/nirium-protocol/nirium-sdk/issues/48,,,,is subject to GrantFox review under this campaign,0,alta,80.0,médio,0.02,1.7,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,rejected,0,Eligibility is subject to GrantFox review under this campaign,0,"USDC, GitHub Sponsors",1,0,2026-08-26T17:32:27.213966+00:00
415,"Epic: oracle-first pipeline for autonomous, bounty-worthy blockchain submissions",crypto_bounty,Crypto Bounties,https://github.com/gratefulagents/gratefulagents/issues/247,,,,repurposed from finding *sources* into an *exclusion filter* applied before we spend any PoC budget,0,baixa,8.0,médio,0.02,1.52,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,rejected,1,,0,GitHub Sponsors,1,0,2026-08-26T14:01:48.695092+00:00
445,Reference Implementation: AgentCourt — LCP Level 4 Dispute Resolution Engine,ai_bounty,AI Agent Bounties,https://github.com/legal-context-protocol/legal-context-protocol/issues/1,,,,signed in to change notification settings Fork 4 Star 21 Code Issues 3 Pull requests 1 Discussions Actions Projects Security and quality 0 Insights Additional navigation options Code Issues Pull requests Discussions Actions Projects Security and quality Insights Reference Implementation: AgentCourt,0,baixa,8.0,médio,0.02,1.45,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,rejected,0,,0,"USDC, GitHub Sponsors",1,0,2026-08-26T14:01:50.966805+00:00
453,"Live x402 price API available for integration testing — 9 endpoints, USDC on Base",ai_integration,MCP Paid Opportunities,https://github.com/echoo02/base-x402-ai-agent/issues/1,,,,signed in to change notification settings Fork 0 Star 0 Code Issues 1 Pull requests 0 Actions Projects Security and quality 0 Insights Additional navigation options Code Issues Pull requests Actions Projects Security and quality Insights Live x402 price API available for integration testing — 9 endp,0,baixa,8.0,médio,0.02,1.45,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,rejected,1,,0,"USDC, GitHub Sponsors",1,0,2026-08-26T14:01:51.747186+00:00
673,bounty protocol: public spec → add-only file → USDC to payTo → paste tx hash,ai_integration,MCP Paid Opportunities,https://github.com/kwizzlesurp10-ctrl/x402-mcp/issues/493,,,,signed in to change notification settings Fork 0 Star 1 Code Issues 33 Pull requests 0 Actions Projects Security and quality 0 Insights Additional navigation options Code Issues Pull requests Actions Projects Security and quality Insights bounty protocol: public spec → add-only file → USDC to payTo,0,baixa,8.0,médio,0.02,1.45,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,rejected,0,,0,"USDC, GitHub Sponsors",1,0,2026-08-26T16:35:49.943886+00:00
751,Maintainer notice: enforce rolling bounty liquidity and external-funding GMV loop,ai_integration,MCP Paid Opportunities,https://github.com/NSPG13/agent-bounties/issues/1117,,,,signed in to change notification settings Fork 74 Star 13 Code Issues 135 Pull requests 83 Discussions Actions Projects Security and quality 0 Insights Additional navigation options Code Issues Pull requests Discussions Actions Projects Security and quality Insights Maintainer notice: enforce rollin,0,baixa,8.0,médio,0.02,1.45,Descartar como conteúdo informativo ou falso positivo.,Não foram encontrados sinais suficientes de uma oportunidade executável.,rejected,1,,0,"USDC, GitHub Sponsors",1,0,2026-08-26T17:06:55.877068+00:00
